seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,task_position,task_id,buffer_size_limit,pre_buffer_total,pre_task_0_count,pre_task_1_count,pre_task_2_count,pre_task_3_count,pre_task_4_count,post_buffer_total,post_task_0_count,post_task_1_count,post_task_2_count,post_task_3_count,post_task_4_count
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,0,0,100,0,0,0,0,0,0,100,100,0,0,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,1,1,100,100,100,0,0,0,0,100,4,96,0,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,2,2,100,100,4,96,0,0,0,100,1,6,93,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,3,3,100,100,1,6,93,0,0,100,1,0,6,93,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,4,4,100,100,1,0,6,93,0,100,0,0,0,5,95
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,0,0,500,0,0,0,0,0,0,500,500,0,0,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,1,1,500,500,500,0,0,0,0,500,105,395,0,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,2,2,500,500,105,395,0,0,0,500,18,82,400,0,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,3,3,500,500,18,82,400,0,0,500,5,14,102,379,0
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,4,4,500,500,5,14,102,379,0,500,0,2,18,90,390
