seed,order_id,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,task_id,task_position,A_after,A_final,BWT,forgetting,optimizer_steps,epochs,batch_size,current_examples,replay_examples,train_examples_total,processed_examples
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,0,0,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,1,1,0.975,0.0,-0.975,0.975,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,2,2,0.99,0.0,-0.99,0.99,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,3,3,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,4,4,0.964,0.964,0.0,0.0,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,0,0,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,1,1,0.978,0.0,-0.978,0.978,170,10,128,2000,100,2100,21000
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,2,2,0.991,0.0,-0.991,0.991,170,10,128,2000,100,2100,21000
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,3,3,0.99,0.637,-0.353,0.353,170,10,128,2000,100,2100,21000
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,4,4,0.981,0.981,0.0,0.0,170,10,128,2000,100,2100,21000
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,0,0,1.0,0.332,-0.6679999999999999,0.6679999999999999,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,1,1,0.967,0.207,-0.76,0.76,200,10,128,2000,500,2500,25000
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,2,2,0.984,0.609,-0.375,0.375,200,10,128,2000,500,2500,25000
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,3,3,0.972,0.893,-0.07899999999999996,0.07899999999999996,200,10,128,2000,500,2500,25000
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,4,4,0.971,0.971,0.0,0.0,200,10,128,2000,500,2500,25000
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,0,0,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,1,1,0.975,0.0,-0.975,0.975,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,2,2,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,3,3,0.993,0.0,-0.993,0.993,160,10,128,2000,0,2000,20000
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,4,4,0.978,0.978,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,3,1,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,1,2,0.975,0.0,-0.975,0.975,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,0,3,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,4,4,0.981,0.981,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,3,1,0.993,0.0,-0.993,0.993,170,10,128,2000,100,2100,21000
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,1,2,0.973,0.0,-0.973,0.973,170,10,128,2000,100,2100,21000
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,0,3,0.997,0.873,-0.124,0.124,170,10,128,2000,100,2100,21000
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,4,4,0.979,0.979,0.0,0.0,170,10,128,2000,100,2100,21000
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,3,1,0.979,0.503,-0.476,0.476,200,10,128,2000,500,2500,25000
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,1,2,0.968,0.558,-0.4099999999999999,0.4099999999999999,200,10,128,2000,500,2500,25000
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,0,3,0.994,0.965,-0.029000000000000026,0.029000000000000026,200,10,128,2000,500,2500,25000
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,4,4,0.976,0.976,0.0,0.0,200,10,128,2000,500,2500,25000
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,2,0,0.994,0.0,-0.994,0.994,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,3,1,0.992,0.0,-0.992,0.992,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,1,2,0.971,0.0,-0.971,0.971,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,0,3,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,4,4,0.981,0.981,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,0,1,1.0,0.0,-1.0,1.0,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,2,2,0.995,0.0,-0.995,0.995,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,4,3,0.978,0.0,-0.978,0.978,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,3,4,0.993,0.993,0.0,0.0,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,0,1,0.998,0.0,-0.998,0.998,170,10,128,2000,100,2100,21000
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,2,2,0.995,0.002,-0.993,0.993,170,10,128,2000,100,2100,21000
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,4,3,0.98,0.28,-0.7,0.7,170,10,128,2000,100,2100,21000
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,3,4,0.988,0.988,0.0,0.0,170,10,128,2000,100,2100,21000
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,0,1,0.996,0.711,-0.28500000000000003,0.28500000000000003,200,10,128,2000,500,2500,25000
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,2,2,0.99,0.743,-0.247,0.247,200,10,128,2000,500,2500,25000
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,4,3,0.971,0.908,-0.06299999999999994,0.06299999999999994,200,10,128,2000,500,2500,25000
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,3,4,0.966,0.966,0.0,0.0,200,10,128,2000,500,2500,25000
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,1,0,0.977,0.0,-0.977,0.977,160,10,128,2000,0,2000,20000
