seed,order_id,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,optimizer_steps_total,optimizer_steps_per_task,processed_examples_total,processed_examples_per_task,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,elapsed_seconds,device,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,1.0,1.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9880000000000001,0.991,0.975,0,0.19619999999999999,0.98975,3.55,cuda:0,0.0,0.0,0.0,0.0,0.981
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,5.0,5.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9888,0.992,0.975,0,0.1968,0.99,3.861,cuda:0,0.0,0.0,0.0,0.0,0.984
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,10.0,10.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9888,0.991,0.975,0,0.1968,0.99,3.925,cuda:0,0.0,0.0,0.0,0.0,0.984
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,25.0,25.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9863999999999999,0.99,0.974,0,0.1948,0.9894999999999999,3.807,cuda:0,0.0,0.0,0.0,0.0,0.974
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,50.0,50.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9872,0.991,0.975,0,0.1954,0.98975,3.78,cuda:0,0.0,0.0,0.0,0.0,0.977
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.975,0,0.1956,0.99,3.804,cuda:0,0.0,0.0,0.0,0.0,0.978
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,500.0,500.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9864,0.992,0.972,0,0.1944,0.99,4.297,cuda:0,0.0,0.0,0.0,0.0,0.972
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,1.0,1.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9884000000000001,0.992,0.973,0,0.1966,0.9897499999999999,4.332,cuda:0,0.0,0.0,0.0,0.0,0.983
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,5.0,5.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9884000000000001,0.992,0.974,0,0.1964,0.99,3.692,cuda:0,0.0,0.0,0.0,0.0,0.982
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,10.0,10.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.973,0,0.1958,0.9897499999999999,3.529,cuda:0,0.0,0.0,0.0,0.0,0.979
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,25.0,25.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9878,0.992,0.975,0,0.1956,0.9902500000000001,3.522,cuda:0,0.0,0.0,0.0,0.0,0.978
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,50.0,50.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.97,0,0.1964,0.989,3.498,cuda:0,0.0,0.0,0.0,0.0,0.982
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.971,0,0.19619999999999999,0.98925,3.525,cuda:0,0.0,0.0,0.0,0.0,0.981
