seed,order_id,task_order,method,memory_budget,ewc_lambda,epochs,batch_size,final_average_accuracy,average_forgetting,elapsed_seconds,device,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,canonical,0-1-2-3-4,no_replay,0,0.0,2,512,0.1658,0.243,0.368,cuda:0,0.493,0.065,0.001,0.27,0.0
1,canonical,0-1-2-3-4,experience_replay,100,0.0,2,512,0.1646,0.27475000000000005,0.147,cuda:0,0.47,0.001,0.0,0.352,0.0
1,canonical,0-1-2-3-4,experience_replay,500,0.0,2,512,0.29900000000000004,0.15550000000000003,0.161,cuda:0,0.577,0.0,0.006,0.912,0.0
1,canonical,0-1-2-3-4,ewc,0,25.0,2,512,0.15360000000000001,0.259,0.441,cuda:0,0.495,0.075,0.001,0.197,0.0
1,shuffle_0,2-3-1-0-4,no_replay,0,0.0,2,512,0.1972,0.25625000000000003,0.13,cuda:0,0.14,0.483,0.006,0.357,0.0
1,shuffle_0,2-3-1-0-4,experience_replay,100,0.0,2,512,0.2552,0.22275,0.143,cuda:0,0.904,0.274,0.0,0.098,0.0
1,shuffle_0,2-3-1-0-4,experience_replay,500,0.0,2,512,0.24180000000000001,0.23925,0.157,cuda:0,0.973,0.019,0.001,0.216,0.0
1,shuffle_0,2-3-1-0-4,ewc,0,25.0,2,512,0.2008,0.252,0.326,cuda:0,0.144,0.481,0.011,0.368,0.0
1,shuffle_1,1-0-2-4-3,no_replay,0,0.0,2,512,0.21620000000000003,0.3155,0.128,cuda:0,0.489,0.299,0.251,0.0,0.042
1,shuffle_1,1-0-2-4-3,experience_replay,100,0.0,2,512,0.1926,0.3525,0.146,cuda:0,0.449,0.004,0.487,0.0,0.023
1,shuffle_1,1-0-2-4-3,experience_replay,500,0.0,2,512,0.13440000000000002,0.43450000000000005,0.211,cuda:0,0.16,0.012,0.483,0.0,0.017
1,shuffle_1,1-0-2-4-3,ewc,0,25.0,2,512,0.21680000000000002,0.31050000000000005,0.326,cuda:0,0.483,0.343,0.227,0.0,0.031
1,shuffle_2,2-3-0-4-1,no_replay,0,0.0,2,512,0.3056,0.23075,0.135,cuda:0,0.339,0.324,0.368,0.497,0.0
1,shuffle_2,2-3-0-4-1,experience_replay,100,0.0,2,512,0.1668,0.501,0.146,cuda:0,0.076,0.518,0.0,0.24,0.0
1,shuffle_2,2-3-0-4-1,experience_replay,500,0.0,2,512,0.24,0.5595,0.158,cuda:0,0.246,0.596,0.04,0.318,0.0
1,shuffle_2,2-3-0-4-1,ewc,0,25.0,2,512,0.3066,0.23174999999999998,0.317,cuda:0,0.327,0.325,0.427,0.454,0.0
1,shuffle_3,1-2-0-3-4,no_replay,0,0.0,2,512,0.1052,0.4615,0.131,cuda:0,0.5,0.018,0.0,0.008,0.0
1,shuffle_3,1-2-0-3-4,experience_replay,100,0.0,2,512,0.1652,0.45399999999999996,0.203,cuda:0,0.499,0.0,0.0,0.327,0.0
1,shuffle_3,1-2-0-3-4,experience_replay,500,0.0,2,512,0.2516,0.31099999999999994,0.157,cuda:0,0.463,0.231,0.0,0.564,0.0
1,shuffle_3,1-2-0-3-4,ewc,0,25.0,2,512,0.1066,0.46,0.323,cuda:0,0.5,0.024,0.0,0.009,0.0
2,canonical,0-1-2-3-4,no_replay,0,0.0,2,512,0.31,0.28175,0.139,cuda:0,0.429,0.085,0.498,0.274,0.264
2,canonical,0-1-2-3-4,experience_replay,100,0.0,2,512,0.3154,0.37249999999999994,0.165,cuda:0,0.337,0.0,0.293,0.368,0.579
2,canonical,0-1-2-3-4,experience_replay,500,0.0,2,512,0.3424,0.39075,0.16,cuda:0,0.44,0.0,0.022,0.639,0.611
2,canonical,0-1-2-3-4,ewc,0,25.0,2,512,0.316,0.2805,0.378,cuda:0,0.441,0.081,0.492,0.285,0.281
2,shuffle_0,2-3-1-0-4,no_replay,0,0.0,2,512,0.1322,0.5055000000000001,0.132,cuda:0,0.0,0.0,0.16,0.001,0.5
2,shuffle_0,2-3-1-0-4,experience_replay,100,0.0,2,512,0.16999999999999998,0.53625,0.144,cuda:0,0.37,0.0,0.01,0.001,0.469
2,shuffle_0,2-3-1-0-4,experience_replay,500,0.0,2,512,0.2374,0.41725,0.165,cuda:0,0.504,0.006,0.268,0.229,0.18
2,shuffle_0,2-3-1-0-4,ewc,0,25.0,2,512,0.135,0.50075,0.328,cuda:0,0.0,0.0,0.173,0.002,0.5
2,shuffle_1,1-0-2-4-3,no_replay,0,0.0,2,512,0.1606,0.37324999999999997,0.136,cuda:0,0.227,0.0,0.077,0.0,0.499
2,shuffle_1,1-0-2-4-3,experience_replay,100,0.0,2,512,0.1494,0.41975,0.148,cuda:0,0.233,0.002,0.003,0.009,0.5
2,shuffle_1,1-0-2-4-3,experience_replay,500,0.0,2,512,0.18839999999999998,0.36775,0.216,cuda:0,0.365,0.046,0.026,0.0,0.505
2,shuffle_1,1-0-2-4-3,ewc,0,25.0,2,512,0.1584,0.37625,0.321,cuda:0,0.216,0.0,0.077,0.0,0.499
2,shuffle_2,2-3-0-4-1,no_replay,0,0.0,2,512,0.1026,0.485,0.131,cuda:0,0.0,0.0,0.003,0.0,0.51
2,shuffle_2,2-3-0-4-1,experience_replay,100,0.0,2,512,0.1574,0.4365,0.148,cuda:0,0.0,0.001,0.0,0.0,0.786
2,shuffle_2,2-3-0-4-1,experience_replay,500,0.0,2,512,0.1778,0.5367500000000001,0.16,cuda:0,0.002,0.0,0.0,0.0,0.887
2,shuffle_2,2-3-0-4-1,ewc,0,25.0,2,512,0.1032,0.485,0.325,cuda:0,0.0,0.0,0.005,0.0,0.511
2,shuffle_3,1-2-0-3-4,no_replay,0,0.0,2,512,0.20060000000000003,0.33725,0.195,cuda:0,0.202,0.0,0.1,0.506,0.195
2,shuffle_3,1-2-0-3-4,experience_replay,100,0.0,2,512,0.1706,0.4835,0.148,cuda:0,0.219,0.0,0.0,0.47,0.164
2,shuffle_3,1-2-0-3-4,experience_replay,500,0.0,2,512,0.258,0.40325,0.162,cuda:0,0.375,0.022,0.0,0.755,0.138
2,shuffle_3,1-2-0-3-4,ewc,0,25.0,2,512,0.2024,0.33775,0.321,cuda:0,0.194,0.0,0.099,0.516,0.203
3,canonical,0-1-2-3-4,no_replay,0,0.0,2,512,0.06639999999999999,0.386,0.127,cuda:0,0.013,0.104,0.215,0.0,0.0
3,canonical,0-1-2-3-4,experience_replay,100,0.0,2,512,0.09519999999999999,0.437,0.159,cuda:0,0.006,0.046,0.424,0.0,0.0
3,canonical,0-1-2-3-4,experience_replay,500,0.0,2,512,0.2552,0.24200000000000005,0.178,cuda:0,0.401,0.214,0.098,0.563,0.0
3,canonical,0-1-2-3-4,ewc,0,25.0,2,512,0.077,0.373,0.408,cuda:0,0.072,0.118,0.195,0.0,0.0
3,shuffle_0,2-3-1-0-4,no_replay,0,0.0,2,512,0.1796,0.39225000000000004,0.133,cuda:0,0.495,0.128,0.185,0.09,0.0
