dataset,n_samples,n_features,n_classes,task_count,task_order,replay_name,replay_budget,order_seed,train_rows,test_rows,final_accuracy,final_macro_f1,forgetting,fit_seconds,partial_fit_calls,status,order_regret
digits,1797,64,10,10,1 2 6 4 5 9 7 0 8 3,no_replay,0,601,1258,539,0.7792207792207793,0.7441748733744586,0.02912457912457912,0.1252165400001104,50,PASS,0.11995893450099893
digits,1797,64,10,10,1 2 6 4 5 9 7 0 8 3,replay_16,16,601,1258,539,0.7755102040816326,0.7381792200754076,0.011046312178387651,0.13071825500082923,50,PASS,0.09302519074470217
digits,1797,64,10,10,1 2 6 4 5 9 7 0 8 3,replay_32,32,601,1258,539,0.7810760667903525,0.7366290366440019,0.0036363636363636377,0.12615190599899506,50,PASS,0.07093740903236667
digits,1797,64,10,10,1 2 6 4 5 9 7 0 8 3,replay_64,64,601,1258,539,0.7625231910946196,0.7187676245602401,0.009124579124579136,0.13014758699864615,50,PASS,0.04107840489736925
digits,1797,64,10,10,5 8 0 3 1 4 9 2 7 6,no_replay,0,733,1258,539,0.8664192949907236,0.8641338078754576,0.018706293706293696,0.1251731380034471,50,PASS,0.0
digits,1797,64,10,10,5 8 0 3 1 4 9 2 7 6,replay_16,16,733,1258,539,0.8237476808905381,0.8168323564524892,0.00576923076923076,0.1318380540033104,50,PASS,0.014372054367620568
digits,1797,64,10,10,5 8 0 3 1 4 9 2 7 6,replay_32,32,733,1258,539,0.7977736549165121,0.7894174636011626,0.0038461538461538438,0.12565071000426542,50,PASS,0.01814898207520599
digits,1797,64,10,10,5 8 0 3 1 4 9 2 7 6,replay_64,64,733,1258,539,0.7736549165120594,0.7598460294576094,0.0038461538461538438,0.12898281100206077,50,PASS,0.0
digits,1797,64,10,10,4 0 3 2 5 1 8 9 6 7,no_replay,0,887,1258,539,0.8534322820037106,0.8481379222908829,0.021920462486500224,0.1262107599977753,50,PASS,0.015995885584574654
digits,1797,64,10,10,4 0 3 2 5 1 8 9 6 7,replay_16,16,887,1258,539,0.8348794063079777,0.8312044108201098,0.0054882154882154865,0.12414968300436158,50,PASS,0.0
digits,1797,64,10,10,4 0 3 2 5 1 8 9 6 7,replay_32,32,887,1258,539,0.8126159554730983,0.8075664456763686,0.007375007941045675,0.1276393369989819,50,PASS,0.0
digits,1797,64,10,10,4 0 3 2 5 1 8 9 6 7,replay_64,64,887,1258,539,0.7680890538033395,0.7563325930607627,0.0036363636363636377,0.1352624349965481,50,PASS,0.0035134363968466475
digits,1797,64,10,10,4 1 0 2 3 7 9 6 8 5,no_replay,0,941,1258,539,0.8181818181818182,0.8010901771348946,0.03128454354869449,0.12398931899952004,50,PASS,0.06304363074056296
digits,1797,64,10,10,4 1 0 2 3 7 9 6 8 5,replay_16,16,941,1258,539,0.7847866419294991,0.7642571356910448,0.0054882154882154865,0.12408051300008083,50,PASS,0.06694727512906495
digits,1797,64,10,10,4 1 0 2 3 7 9 6 8 5,replay_32,32,941,1258,539,0.7569573283858998,0.7274706824251049,0.0018518518518518489,0.12826570800098125,50,PASS,0.08009576325126366
digits,1797,64,10,10,4 1 0 2 3 7 9 6 8 5,replay_64,64,941,1258,539,0.7551020408163265,0.7253065752801031,0.0018518518518518489,0.1293683609983418,50,PASS,0.03453945417750626
digits,1797,64,10,10,9 1 5 3 0 6 8 2 4 7,no_replay,0,1013,1258,539,0.8274582560296846,0.8202663568707644,0.038552188552188546,0.12539892600034364,50,PASS,0.043867451004693137
digits,1797,64,10,10,9 1 5 3 0 6 8 2 4 7,replay_16,16,1013,1258,539,0.7959183673469388,0.7865969401323044,0.007340067340067346,0.12688499300566036,50,PASS,0.04460747068780535
digits,1797,64,10,10,9 1 5 3 0 6 8 2 4 7,replay_32,32,1013,1258,539,0.7476808905380334,0.725037225089211,0.003703703703703709,0.1258233240005211,50,PASS,0.08252922058715761
digits,1797,64,10,10,9 1 5 3 0 6 8 2 4 7,replay_64,64,1013,1258,539,0.7495361781076066,0.7317967118017847,0.0018518518518518489,0.12859776400000555,50,PASS,0.028049317655824635
wine,178,13,3,3,1 2 0,no_replay,0,601,125,53,0.9811320754716981,0.9803756658256239,0.01587301587301589,0.014628915996581782,15,PASS,0.0
wine,178,13,3,3,1 2 0,replay_16,16,601,125,53,0.9811320754716981,0.9803756658256239,0.01587301587301589,0.014379261003341526,15,PASS,0.0
wine,178,13,3,3,1 2 0,replay_32,32,601,125,53,1.0,1.0,0.0,0.01479233699501492,15,PASS,0.0
wine,178,13,3,3,1 2 0,replay_64,64,601,125,53,0.9811320754716981,0.9803756658256239,0.01587301587301589,0.01459551200241549,15,PASS,0.0
wine,178,13,3,3,0 2 1,no_replay,0,733,125,53,0.9433962264150944,0.9431277431277433,0.0,0.014150577997497749,15,PASS,0.037247922697880576
wine,178,13,3,3,0 2 1,replay_16,16,733,125,53,0.9245283018867925,0.9251461988304094,0.0,0.015212090998829808,15,PASS,0.05522946699521447
wine,178,13,3,3,0 2 1,replay_32,32,733,125,53,0.9245283018867925,0.9251461988304094,0.0,0.014713599004608113,15,PASS,0.07485380116959062
wine,178,13,3,3,0 2 1,replay_64,64,733,125,53,0.9245283018867925,0.9251461988304094,0.0,0.03490694599895505,15,PASS,0.05522946699521447
wine,178,13,3,3,0 2 1,no_replay,0,887,125,53,0.8490566037735849,0.8452012383900929,0.0,0.01451613700191956,15,PASS,0.13517442743553099
wine,178,13,3,3,0 2 1,replay_16,16,887,125,53,0.8679245283018868,0.8652844231791601,0.0,0.014354359002027195,15,PASS,0.11509124264646375
wine,178,13,3,3,0 2 1,replay_32,32,887,125,53,0.8867924528301887,0.8852339181286549,0.0,0.014416478996281512,15,PASS,0.11476608187134507
wine,178,13,3,3,0 2 1,replay_64,64,887,125,53,0.8867924528301887,0.8852339181286549,0.0,0.01468081799976062,15,PASS,0.09514174769696893
wine,178,13,3,3,0 2 1,no_replay,0,941,125,53,0.9056603773584906,0.9101273687480584,0.0,0.017717725997499656,15,PASS,0.07024829707756541
wine,178,13,3,3,0 2 1,replay_16,16,941,125,53,0.9056603773584906,0.9101273687480584,0.0,0.015526113005762454,15,PASS,0.07024829707756541
wine,178,13,3,3,0 2 1,replay_32,32,941,125,53,0.9056603773584906,0.9101273687480584,0.0,0.014351466001244262,15,PASS,0.08987263125194156
wine,178,13,3,3,0 2 1,replay_64,64,941,125,53,0.9056603773584906,0.9101273687480584,0.0,0.014511625005980022,15,PASS,0.07024829707756541
wine,178,13,3,3,0 2 1,no_replay,0,1013,125,53,0.8867924528301887,0.888888888888889,0.0,0.01458492500387365,15,PASS,0.0914867769367349
wine,178,13,3,3,0 2 1,replay_16,16,1013,125,53,0.9056603773584906,0.9101273687480584,0.0,0.01458231399737997,15,PASS,0.07024829707756541
wine,178,13,3,3,0 2 1,replay_32,32,1013,125,53,0.9056603773584906,0.9101273687480584,0.0,0.014942207999411039,15,PASS,0.08987263125194156
wine,178,13,3,3,0 2 1,replay_64,64,1013,125,53,0.8867924528301887,0.888888888888889,0.0,0.01479642099729972,15,PASS,0.0914867769367349
iris,150,4,3,3,1 2 0,no_replay,0,601,105,45,0.7777777777777778,0.7737556561085973,0.15555555555555556,0.014616823995311279,15,PASS,0.06173200546602087
iris,150,4,3,3,1 2 0,replay_16,16,601,105,45,0.7777777777777778,0.7737556561085973,0.15555555555555556,0.014123923996521626,15,PASS,0.06173200546602087
iris,150,4,3,3,1 2 0,replay_32,32,601,105,45,0.7777777777777778,0.7737556561085973,0.15555555555555556,0.014838959003100172,15,PASS,0.06173200546602087
iris,150,4,3,3,1 2 0,replay_64,64,601,105,45,0.7777777777777778,0.7737556561085973,0.15555555555555556,0.014597972003684845,15,PASS,0.06173200546602087
iris,150,4,3,3,0 2 1,no_replay,0,733,105,45,0.8444444444444444,0.8354876615746182,0.0,0.014577890004147775,15,PASS,0.0
iris,150,4,3,3,0 2 1,replay_16,16,733,105,45,0.8444444444444444,0.8354876615746182,0.0,0.014649144002760295,15,PASS,0.0
iris,150,4,3,3,0 2 1,replay_32,32,733,105,45,0.8444444444444444,0.8354876615746182,0.0,0.014392516000953037,15,PASS,0.0
iris,150,4,3,3,0 2 1,replay_64,64,733,105,45,0.8444444444444444,0.8354876615746182,0.0,0.014363957001478411,15,PASS,0.0
iris,150,4,3,3,0 2 1,no_replay,0,887,105,45,0.8222222222222222,0.8148148148148148,0.022222222222222216,0.015039452002383769,15,PASS,0.02067284675980341
iris,150,4,3,3,0 2 1,replay_16,16,887,105,45,0.8,0.7847384551451873,0.022222222222222216,0.014848252998490352,15,PASS,0.050749206429430926
iris,150,4,3,3,0 2 1,replay_32,32,887,105,45,0.7777777777777778,0.7535774410774411,0.022222222222222216,0.015635999996447936,15,PASS,0.08191022049717711
iris,150,4,3,3,0 2 1,replay_64,64,887,105,45,0.7555555555555555,0.721019721019721,0.022222222222222216,0.014788279004278593,15,PASS,0.11446794055489717
iris,150,4,3,3,0 2 1,no_replay,0,941,105,45,0.8222222222222222,0.8086124401913874,0.0,0.014175236996379681,15,PASS,0.02687522138323073
iris,150,4,3,3,0 2 1,replay_16,16,941,105,45,0.8,0.7802197802197802,0.0,0.014067677002458367,15,PASS,0.055267881354837955
iris,150,4,3,3,0 2 1,replay_32,32,941,105,45,0.8,0.7802197802197802,0.0,0.014909738005371764,15,PASS,0.055267881354837955
iris,150,4,3,3,0 2 1,replay_64,64,941,105,45,0.7555555555555555,0.7129315223542728,0.0,0.01461102799657965,15,PASS,0.12255613922034536
iris,150,4,3,3,0 2 1,no_replay,0,1013,105,45,0.8444444444444444,0.8322424809100827,0.0,0.014218964002793655,15,PASS,0.0032451806645354964
iris,150,4,3,3,0 2 1,replay_16,16,1013,105,45,0.8444444444444444,0.8322424809100827,0.0,0.014726153000083286,15,PASS,0.0032451806645354964
iris,150,4,3,3,0 2 1,replay_32,32,1013,105,45,0.8222222222222222,0.8049721275527727,0.0,0.014320372996735387,15,PASS,0.03051553402184548
iris,150,4,3,3,0 2 1,replay_64,64,1013,105,45,0.7777777777777778,0.7423245614035089,0.0,0.014720546998432837,15,PASS,0.09316310017110929
