seed,order_id,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,optimizer_steps_total,optimizer_steps_per_task,processed_examples_total,processed_examples_per_task,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,elapsed_seconds,device,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,canonical,0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,not_applicable,,0.9841999999999999,0.99,0.964,0,0.1928,0.98925,1.188,cuda:0,0.0,0.0,0.0,0.0,0.964
1,canonical,0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,840,160;170;170;170;170,104000,20000;21000;21000;21000;21000,not_applicable,,0.9879999999999999,0.99,0.978,0,0.3236,0.8305,1.242,cuda:0,0.0,0.0,0.0,0.637,0.981
1,canonical,0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,960,160;200;200;200;200,120000,20000;25000;25000;25000;25000,not_applicable,,0.9788,0.972,0.967,0,0.6024,0.4705,1.416,cuda:0,0.332,0.207,0.609,0.893,0.971
1,canonical,0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.975,0,0.1956,0.99,3.492,cuda:0,0.0,0.0,0.0,0.0,0.978
1,shuffle_0,2-3-1-0-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,not_applicable,,0.9884000000000001,0.992,0.975,0,0.19619999999999999,0.9902500000000001,1.228,cuda:0,0.0,0.0,0.0,0.0,0.981
1,shuffle_0,2-3-1-0-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,840,160;170;170;170;170,104000,20000;21000;21000;21000;21000,not_applicable,,0.9872,0.993,0.973,0,0.37039999999999995,0.771,1.283,cuda:0,0.873,0.0,0.0,0.0,0.979
1,shuffle_0,2-3-1-0-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,960,160;200;200;200;200,120000,20000;25000;25000;25000;25000,not_applicable,,0.9822,0.979,0.968,0,0.6004,0.47724999999999995,1.453,cuda:0,0.965,0.558,0.0,0.503,0.976
1,shuffle_0,2-3-1-0-4,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.971,0,0.19619999999999999,0.98925,3.556,cuda:0,0.0,0.0,0.0,0.0,0.981
1,shuffle_1,1-0-2-4-3,no_replay,0,no_replay,PASS,0.0,0.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,not_applicable,,0.9886000000000001,0.993,0.977,0,0.1986,0.9875,1.182,cuda:0,0.0,0.0,0.0,0.993,0.0
1,shuffle_1,1-0-2-4-3,experience_replay,100,er100,PASS,0.0,0.0,10,128,840,160;170;170;170;170,104000,20000;21000;21000;21000;21000,not_applicable,,0.9876000000000001,0.988,0.977,0,0.254,0.917,1.233,cuda:0,0.0,0.0,0.002,0.988,0.28
1,shuffle_1,1-0-2-4-3,experience_replay,500,er500,PASS,0.0,0.0,10,128,960,160;200;200;200;200,120000,20000;25000;25000;25000;25000,not_applicable,,0.9800000000000001,0.977,0.966,0,0.6656,0.39299999999999996,1.424,cuda:0,0.711,0.0,0.743,0.966,0.908
1,shuffle_1,1-0-2-4-3,ewc,0,ewc,PASS,100.0,100.0,10,128,800,160;160;160;160;160,100000,20000;20000;20000;20000;20000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9902000000000001,0.996,0.977,0,0.1992,0.98875,3.494,cuda:0,0.0,0.0,0.0,0.996,0.0
