seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,matched_step_cap_per_task,effective_epoch_passes_per_task,optimizer_steps_total,optimizer_steps_per_task,optimizer_steps,processed_examples_total,processed_examples_per_task,processed_examples,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,AF,elapsed_seconds,elapsed_time_seconds,device,train_cap_per_digit,test_cap_per_digit,result_kind,task_0_A_after,task_1_A_after,task_2_A_after,task_3_A_after,task_4_A_after,task_0_A_end,task_1_A_end,task_2_A_end,task_3_A_end,task_4_A_end,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9841999999999999,0.99,0.964,0,0.1928,0.98925,0.98925,1.503,1.503,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.99,0.992,0.964,0.0,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.964
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9879999999999999,0.99,0.978,0,0.3236,0.8305,0.8305,1.29,1.29,cuda:0,1000,500,all_120perm_4methods,1.0,0.978,0.991,0.99,0.981,0.0,0.0,0.0,0.637,0.981,0.0,0.0,0.0,0.637,0.981
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9788,0.972,0.967,0,0.6024,0.4705,0.4705,1.456,1.456,cuda:0,1000,500,all_120perm_4methods,1.0,0.967,0.984,0.972,0.971,0.332,0.207,0.609,0.893,0.971,0.332,0.207,0.609,0.893,0.971
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.992,0.975,0,0.1956,0.99,0.99,3.688,3.688,cuda:0,1000,500,all_120perm_4methods,1.0,0.975,0.992,0.993,0.978,0.0,0.0,0.0,0.0,0.978,0.0,0.0,0.0,0.0,0.978
2,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9878,0.992,0.974,0,0.19619999999999999,0.9894999999999999,0.9894999999999999,1.207,1.207,cuda:0,1000,500,all_120perm_4methods,0.999,0.974,0.992,0.993,0.981,0.0,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.981
2,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9836,0.988,0.965,0,0.312,0.8395,0.8395,1.265,1.265,cuda:0,1000,500,all_120perm_4methods,0.999,0.965,0.994,0.988,0.972,0.0,0.0,0.0,0.588,0.972,0.0,0.0,0.0,0.588,0.972
2,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9841999999999999,0.981,0.977,0,0.493,0.614,0.614,1.436,1.436,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.986,0.981,0.978,0.185,0.12,0.301,0.881,0.978,0.185,0.12,0.301,0.881,0.978
2,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9875999999999999,0.993,0.974,0,0.1958,0.9897499999999999,0.9897499999999999,3.652,3.652,cuda:0,1000,500,all_120perm_4methods,0.999,0.974,0.993,0.993,0.979,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.979
3,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9882,0.992,0.977,0,0.1958,0.9904999999999999,0.9904999999999999,1.259,1.259,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.994,0.992,0.979,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.979
3,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.9868,0.988,0.978,0,0.3414,0.80675,0.80675,1.298,1.298,cuda:0,1000,500,all_120perm_4methods,0.999,0.979,0.99,0.988,0.978,0.0,0.0,0.0,0.729,0.978,0.0,0.0,0.0,0.729,0.978
3,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9812,0.981,0.969,0,0.48819999999999997,0.61625,0.61625,1.535,1.535,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.981,0.981,0.969,0.0,0.103,0.478,0.891,0.969,0.0,0.103,0.478,0.891,0.969
3,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,ewc,0,ewc,PASS,100.0,100.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,empirical_mean_of_per_sample_squared_gradients,2000;2000;2000;2000,0.9862,0.992,0.97,0,0.194,0.9902500000000001,0.9902500000000001,3.782,3.782,cuda:0,1000,500,all_120perm_4methods,0.999,0.976,0.994,0.992,0.97,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.97
4,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,no_replay,0,no_replay,PASS,0.0,0.0,10,128,not_applicable,not_applicable,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9882,0.993,0.977,0,0.1958,0.9904999999999999,0.9904999999999999,1.214,1.214,cuda:0,1000,500,all_120perm_4methods,0.999,0.977,0.993,0.993,0.979,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.979
4,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,100,er100,PASS,0.0,0.0,10,128,not_applicable,not_applicable,840,160;170;170;170;170,840,104000,20000;21000;21000;21000;21000,104000,not_applicable,not_applicable,0.986,0.988,0.971,0,0.3316,0.8180000000000001,0.8180000000000001,1.345,1.345,cuda:0,1000,500,all_120perm_4methods,0.999,0.98,0.992,0.988,0.971,0.0,0.0,0.0,0.687,0.971,0.0,0.0,0.0,0.687,0.971
4,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay,500,er500,PASS,0.0,0.0,10,128,not_applicable,not_applicable,960,160;200;200;200;200,960,120000,20000;25000;25000;25000;25000,120000,not_applicable,not_applicable,0.9823999999999999,0.98,0.975,0,0.43900000000000006,0.6792499999999999,0.6792499999999999,1.528,1.528,cuda:0,1000,500,all_120perm_4methods,0.999,0.975,0.982,0.98,0.976,0.014,0.133,0.193,0.879,0.976,0.014,0.133,0.193,0.879,0.976
