seed,order_id,legacy_order_id,run_order_id,order,task_order,method,memory_budget,method_cell,status,ewc_lambda,selected_ewc_lambda,epochs,batch_size,matched_step_cap_per_task,effective_epoch_passes_per_task,optimizer_steps_total,optimizer_steps_per_task,optimizer_steps,processed_examples_total,processed_examples_per_task,processed_examples,fisher_method,fisher_sample_counts_per_anchor,A_after_mean,A_after_median,A_after_min,A_after_le_0_001_count,final_average_accuracy,average_forgetting,AF,elapsed_seconds,elapsed_time_seconds,device,train_cap_per_digit,test_cap_per_digit,result_kind,task_0_A_after,task_1_A_after,task_2_A_after,task_3_A_after,task_4_A_after,task_0_A_end,task_1_A_end,task_2_A_end,task_3_A_end,task_4_A_end,task_0_final_accuracy,task_1_final_accuracy,task_2_final_accuracy,task_3_final_accuracy,task_4_final_accuracy
1,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9783999999999999,0.977,0.966,0,0.4454000000000001,0.66625,0.66625,1.261,1.261,cuda:0,1000,500,compute_matched_er500,1.0,0.967,0.982,0.977,0.966,0.03,0.096,0.274,0.861,0.966,0.03,0.096,0.274,0.861,0.966
2,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9812,0.976,0.974,0,0.47800000000000004,0.629,0.629,1.233,1.233,cuda:0,1000,500,compute_matched_er500,0.999,0.974,0.983,0.974,0.976,0.191,0.107,0.214,0.902,0.976,0.191,0.107,0.214,0.902,0.976
3,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9812,0.981,0.969,0,0.3802,0.75125,0.75125,1.236,1.236,cuda:0,1000,500,compute_matched_er500,0.999,0.974,0.983,0.981,0.969,0.0,0.045,0.019,0.868,0.969,0.0,0.045,0.019,0.868,0.969
4,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9802,0.978,0.968,0,0.4636,0.64575,0.64575,1.252,1.252,cuda:0,1000,500,compute_matched_er500,0.999,0.97,0.986,0.978,0.968,0.036,0.092,0.316,0.906,0.968,0.036,0.092,0.316,0.906,0.968
5,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9808,0.985,0.96,0,0.6502000000000001,0.41325,0.41325,1.246,1.246,cuda:0,1000,500,compute_matched_er500,1.0,0.96,0.988,0.985,0.971,0.334,0.439,0.63,0.877,0.971,0.334,0.439,0.63,0.877,0.971
6,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9812,0.977,0.972,0,0.41400000000000003,0.7090000000000001,0.7090000000000001,1.304,1.304,cuda:0,1000,500,compute_matched_er500,0.999,0.972,0.984,0.977,0.974,0.0,0.081,0.115,0.9,0.974,0.0,0.081,0.115,0.9,0.974
7,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9802,0.975,0.97,0,0.5442,0.5449999999999999,0.5449999999999999,1.297,1.297,cuda:0,1000,500,compute_matched_er500,0.999,0.975,0.982,0.975,0.97,0.075,0.305,0.483,0.888,0.97,0.075,0.305,0.483,0.888,0.97
8,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9798,0.979,0.967,0,0.5247999999999999,0.5687499999999999,0.5687499999999999,1.322,1.322,cuda:0,1000,500,compute_matched_er500,0.999,0.967,0.984,0.979,0.97,0.0,0.155,0.615,0.884,0.97,0.0,0.155,0.615,0.884,0.97
9,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9802,0.976,0.971,0,0.5376000000000001,0.55325,0.55325,1.271,1.271,cuda:0,1000,500,compute_matched_er500,0.999,0.974,0.981,0.976,0.971,0.373,0.051,0.402,0.891,0.971,0.373,0.051,0.402,0.891,0.971
10,perm_000,canonical,canonical,"[0,1,2,3,4]",0-1-2-3-4,experience_replay_compute_matched,500,er500_matched,PASS,0.0,0.0,10,128,160,10;8;8;8;8,800,160;160;160;160;160,800,100000,20000;20000;20000;20000;20000,100000,not_applicable,not_applicable,0.9806000000000001,0.976,0.971,0,0.4692,0.63925,0.63925,1.266,1.266,cuda:0,1000,500,compute_matched_er500,0.999,0.972,0.985,0.971,0.976,0.188,0.24,0.051,0.891,0.976,0.188,0.24,0.051,0.891,0.976
